Lemma,Freq(ipm)
компания,392.7
про,392.1
государственный,391.3
полный,390.6
принять,386.9
народ,385.6
никакой,383.7
советский,382.9
жена,376.8
настоящий,374.0
всякий,373.2
группа,372.8
развитие,372.6
процесс,371.7
суд,371.1
давать,370.7
ответить,370.4
старый,368.5
условие,368.1
твой,366.6
пока,366.3
средство,363.9
помнить,363.1
начало,361.4
ждать,360.2
свет,359.7
пора,358.2
путь,357.3
душа,356.8
куда,355.4
нужно,353.7
разный,352.6
нужный,351.9
уровень,348.5
иной,348.3
форма,347.8
связь,346.1
уж,344.4
минута,344.2
кроме,343.6
находиться,342.7
опять,342.2
многий,340.9
белый,339.6
собственный,338.3
улица,337.8
черный,337.5
написать,336.2
вечер,335.4
снова,334.4
основной,334.1
качество,331.7
мысль,331.6
дорога,330.1
мать,330.1
действие,329.3
месяц,328.0
оставаться,327.4
государство,326.4
язык,324.9
любовь,323.9
взгляд,323.8
мама,322.6
играть,319.1
далекий,318.3
лежать,318.1
нельзя,317.7
век,317.4
школа,316.0
подумать,315.6
уйти,315.6
цель,315.5
среди,314.9
общество,314.7
посмотреть,314.2
деятельность,313.5
организация,312.4
кто-то,312.0
вернуться,311.2
президент,311.0
комната,310.7
порядок,307.6
момент,306.8
театр,305.3
следовать,305.1
читать,304.4
письмо,304.3
подобный,301.6
следующий,301.4
утро,301.3
особенно,300.3
помощь,300.1
ситуация,298.8
роль,297.9
бывать,297.3
ходить,296.6
рубль,296.4
начинать,296.0
появиться,294.6
смысл,294.6
состояние,294.4
называть,293.4
рядом,291.8
квартира,290.9
назад,290.7
равный,289.7
из-за,289.6
орган,288.4
внимание,286.0
тело,285.9
труд,285.9
прийтись,285.5
хотеться,285.3
сын,285.1
мера,284.3
пять,284.3
смерть,284.1
живой,284.0
рынок,283.3
программа,282.6
задача,282.4
предприятие,281.6
известный,281.1
окно,280.8
вести,280.3
совершенно,280.3
военный,278.7
разговор,278.3
показать,277.7
правительство,277.7
важный,277.0
семья,276.6
великий,276.3
производство,275.6
простой,275.3
значит,274.9
третий,274.7
сколько,273.4
огромный,272.1
давно,272.0
политический,269.6
информация,269.2
действительно,268.6
положение,268.2
поставить,267.3
бояться,266.5
наконец,265.9
центр,265.9
происходить,263.6
ответ,263.3
муж,263.0
автор,262.1
все-таки,261.3
стена,261.0
существовать,260.9
даже,260.6
интерес,260.6
становиться,259.3
федерация,258.9
правило,258.8
оба,258.1
часто,257.8
московский,257.3
управление,256.5
слышать,256.1
быстро,255.7
смочь,255.1
заметить,253.9
как-то,253.2
мужчина,253.2
долго,253.1
правда,252.4
идея,250.8
партия,250.4
иногда,249.8
использовать,249.6
пытаться,249.4
готовый,248.5
чуть,248.3
зачем,247.7
представить,247.2
чувствовать,246.9
создать,245.9
совет,245.5
счет,245.4
сердце,245.1
движение,244.7
вещь,242.5
материал,242.4
неделя,242.2
чувство,242.2
затем,241.3
данный,241.1
заниматься,240.8
продолжать,240.6
красный,240.5
глава,240.2
ко,239.7
слушать,239.5
наука,239.0
узнать,238.1
ряд,238.0
Александр,237.8
газета,237.5
причина,237.2
против,236.5
плечо,236.4
современный,236.1
цена,236.1
план,235.3
приехать,234.4
речь,234.2
четыре,232.7
отвечать,232.4
точка,232.2
основа,231.0
товарищ,230.6
культура,230.2
слишком,230.1
рассказывать,230.0
вполне,229.8
далее,229.6
рассказать,229.4
данные,229.0
представлять,228.5
мнение,228.4
социальный,228.2
около,228.1
документ,226.8
институт,226.5
ход,226.5
брать,226.3
забыть,226.0
проект,225.9
ранний,225.7
встреча,224.9
особый,224.3
целый,222.5
директор,222.2
провести,222.0
спать,221.9
плохой,221.6
может,221.0
впрочем,220.7
сильный,220.5
наверное,220.2
скорый,220.0
ведь,219.9
срок,219.7
палец,219.1
опыт,218.8
помочь,218.8
больше,218.7
приходить,218.2
служба,218.1
крупный,217.3
Андрей,217.2
внутренний,216.1
просить,215.9
вспомнить,215.5
открыть,214.8
привести,214.7
судьба,213.9
пока,213.4
девушка,213.3
поскольку,212.8
очередь,212.5
лес,211.5
пусть,211.0
экономический,210.6
оставить,210.5
правый,210.4
состав,209.8
Сергей,209.5
словно,209.2
федеральный,208.9
спрашивать,208.3
принимать,207.7
член,207.4
искать,206.9
близкий,206.8
количество,206.7
похожий,206.5
событие,206.5
объект,206.4
зал,206.3
создание,206.1
войти,205.5
различный,205.5
значение,205.1
назвать,205.1
достаточно,204.7
период,204.2
хоть,203.9
шаг,203.8
необходимый,203.7
успеть,203.4
произойти,203.2
брат,203.0
искусство,202.6
единственный,202.2
легкий,202.1
структура,202.1
выходить,201.6
номер,201.2
предложить,201.2
пример,201.2
пить,200.9
исследование,200.5
гражданин,199.4
глядеть,199.3
человеческий,199.3
игра,199.0
начальник,198.9
сей,198.6
рост,198.4
ехать,198.2
международный,198.2
тема,198.1
принцип,197.9
дорогой,197.7
попасть,197.7
десять,197.4
начаться,197.4
верить,197.1
метод,197.0
тип,197.0
фильм,196.8
небольшой,196.6
держать,196.5
либо,195.7
позволять,194.3
край,194.0
местный,193.3
менее,192.9
США,192.9
гость,192.7
купить,192.7
уходить,192.7
собираться,192.6
воздух,192.2
туда,191.7
относиться,191.6
бывший,191.5
требовать,190.9
характер,190.7
борьба,190.5
использование,190.3
кстати,190.3
подойти,190.0
Иван,189.9
РФ,189.4
размер,189.3
удаться,189.1
образование,188.9
получать,188.2
Владимир,188.0
мальчик,188.0
кровь,187.8
район,187.8
небо,187.6
американский,186.5
армия,186.4
класс,185.8
представитель,185.7
участие,185.6
девочка,185.1
политика,184.9
сначала,184.6
герой,184.0
картина,183.9
широкий,183.9
доллар,183.1
спина,183.1
территория,182.9
мировой,182.3
пол,181.9
тяжелый,180.3
довольно,180.2
поле,180.2
ж,179.9
изменение,179.8
умереть,179.7
более,179.2
направление,179.2
рисунок,179.2
течение,179.2
возможный,179.1
церковь,178.6
банк,178.1
отдельный,177.5
средний,177.3
красивый,177.2
сцена,177.2
население,176.5
большинство,176.1
сесть,175.9
двадцать,175.8
случиться,175.8
музыка,175.7
короткий,175.6
правда,175.5
проходить,175.4
составлять,175.0
свобода,174.9
память,174.5
приходиться,174.5
причем,174.4
команда,174.2
установить,174.0
союз,173.9
будто,173.8
поднять,173.8
врач,173.1
серьезный,173.0
договор,172.8
стараться,172.8
уметь,172.5
встать,172.1
дерево,171.9
интересный,171.9
факт,171.3
добрый,171.1
всего,170.7
хозяин,170.6
национальный,170.3
однажды,170.2
длинный,170.1
природа,169.9
домой,169.6
страшный,169.1
прошлый,169.0
будто,168.5
общественный,168.1
угол,168.1
чтоб,168.0
телефон,167.8
позиция,167.6
проводить,167.6
скоро,167.3
наиболее,167.2
двор,166.9
обычно,166.7
Сталин,166.7
бросить,166.5
разве,166.4
писатель,166.3
самолет,166.1
объем,165.8
далеко,165.5
род,165.5
солнце,165.2
вера,165.1
берег,164.7
спектакль,164.7
фирма,164.4
Николай,164.2
способ,164.2
завод,164.0
цвет,163.6
трудно,163.3
журнал,162.0
руководитель,162.0
специалист,161.9
возможно,161.8
детский,161.8
точно,161.7
объяснить,161.4
оценка,161.4
единый,161.3
снять,161.3
определенный,161.2
низкий,160.7
нравиться,160.6
услышать,160.4
регион,160.3
связать,160.2
песня,160.1
процент,160.1
родитель,160.0
позволить,159.6
чужой,159.6
море,159.5
странный,159.5
требование,159.4
чистый,159.0
весьма,158.8
какой-нибудь,158.8
основание,158.8
половина,158.8
поехать,158.4
положить,158.1
входить,157.9
легко,157.9
поздний,157.7
роман,157.7
круг,157.4
анализ,157.0
стихи,157.0
автомобиль,156.9
специальный,156.8
экономика,156.3
литература,156.0
бумага,155.8
вместо,155.7
впервые,155.5
видно,155.2
научный,155.1
оказываться,155.1
поэт,155.1
показывать,155.0
степень,155.0
вызвать,154.9
касаться,154.7
господин,154.6
надежда,154.5
сложный,154.5
Борис,154.4
вокруг,154.4
предмет,154.4
отметить,154.3
заявить,154.2
вариант,154.1
министр,154.1
откуда,154.0
реальный,153.8
граница,153.7
действовать,153.5
дух,153.5
модель,153.5
операция,153.3
пара,152.7
сон,152.7
немного,151.9
название,151.8
ум,151.5
повод,151.2
старик,151.0
способный,150.5
мало,150.4
миллион,150.4
малый,150.2
старший,149.5
успех,149.5
практически,149.4
получиться,149.3
личный,149.2
счастье,149.2
необходимо,149.0
свободный,149.0
ребята,148.9
обычный,148.7
кабинет,148.5
прекрасный,148.4
СССР,148.3
высший,147.8
Михаил,147.4
кричать,147.3
прежде,147.3
магазин,147.2
пространство,147.2
выход,147.0
остановиться,147.0
удар,146.8
база,146.7
знание,146.4
текст,146.2
сюда,146.1
темный,146.0
защита,145.9
предлагать,145.9
руководство,145.7
вовсе,145.3
площадь,145.2
сознание,145.2
гражданский,144.7
убить,144.7
возраст,144.5
молчать,144.5
согласиться,144.2
участник,144.2
участок,144.2
рано,144.1
пункт,144.0
несмотря,143.9
сильно,143.9
столь,143.9
сообщить,143.8
линия,143.7
бежать,143.6
желание,143.6
папа,143.4
кажется,143.2
петь,143.2
доктор,143.1
губа,143.0
известно,143.0
дома,142.5
вызывать,142.4
дочь,142.4
показаться,142.4
среда,142.4
председатель,142.3
представление,142.2
солдат,142.2
художник,142.2
принести,141.9
волос,141.8
оружие,141.8
выглядеть,141.7
соответствие,141.0
никак,140.5
ветер,140.3
внешний,140.3
парень,140.3
служить,140.3
зрение,140.2
попросить,140.2
генерал,140.0
состоять,139.9
огонь,139.8
отдать,139.8
боевой,139.6
понятие,139.4
строительство,139.4
ухо,139.3
Европа,139.2
выступать,138.8
грудь,138.8
нос,138.8
ставить,138.7
завтра,138.5
возникать,138.4
когда,138.4
страх,138.4
услуга,138.3
рабочий,138.0
что-нибудь,137.6
глубокий,137.3
содержание,137.3
радость,137.2
безопасность,137.1
надеяться,137.1
продукт,136.7
видимо,136.4
комплекс,136.3
бизнес,136.2
подняться,136.2
вспоминать,135.9
Иванович,135.9
мало,135.8
сад,135.8
долгий,135.5
одновременно,135.4
называться,135.3
сотрудник,135.1
лето,135.0
тихо,135.0
зато,134.9
прямой,134.8
курс,134.5
помогать,134.5
предложение,134.5
финансовый,134.5
открытый,134.4
почему-то,134.4
значить,134.0
возникнуть,133.6
рот,133.6
где-то,133.5
технология,133.5
знакомый,133.4
недавно,133.3
реформа,133.1
отсутствие,132.4
нынешний,132.3
собака,132.2
камень,131.9
будущее,131.4
звать,131.3
рассказ,131.3
контроль,131.2
позвонить,131.0
река,131.0
хватать,130.9
продукция,130.8
сумма,130.6
техника,130.5
исторический,130.4
вновь,130.3
народный,130.3
прямо,130.3
ибо,130.0
выпить,129.9
здание,129.9
сфера,129.5
знаменитый,129.4
иначе,129.2
потерять,129.2
необходимость,129.1
больший,128.9
фонд,128.6
иметься,128.4
вперед,128.1
подготовка,127.9
вчера,127.6
лист,127.6
пустой,127.5
очередной,127.4
республика,127.4
хозяйство,127.2
Виктор,127.1
полностью,127.0
получаться,127.0
учиться,126.9
плохо,126.5
воля,126.4
судебный,126.1
бюджет,126.0
возвращаться,125.8
расти,125.8
снег,125.2
деревня,125.1
обнаружить,125.0
мужик,124.7
постоянно,124.6
зеленый,124.4
элемент,124.4
обстоятельство,124.2
почувствовать,124.2
немец,124.1
многое,124.0
победа,124.0
источник,123.7
немецкий,123.6
золотой,123.5
передать,123.5
технический,123.4
нормальный,123.2
едва,123.1
желать,123.1
ожидать,123.0
некий,122.8
звезда,122.7
городской,122.4
выбор,122.0
Америка,121.9
соответствующий,121.8
масса,121.7
составить,121.6
итог,121.5
сестра,121.3
что,121.2
Игорь,120.9
шесть,120.9
ясно,120.8
практика,120.7
сто,120.7
нести,120.6
определить,120.6
проведение,120.6
карман,120.5
любимый,120.4
родной,120.3
западный,120.2
обязательно,120.2
слава,120.2
кухня,120.1
определение,120.1
пользоваться,120.1
быстрый,119.8
функция,119.6
войско,119.4
комиссия,119.3
применение,119.3
капитан,119.0
работник,119.0
улыбнуться,119.0
холодный,119.0
обеспечение,118.8
офицер,118.7
появляться,118.4
Олег,118.3
конкретный,118.1
фамилия,118.1
предел,118.0
прямо,118.0
смеяться,117.9
выборы,117.7
иностранный,117.4
уехать,117.4
ученый,117.4
вроде,117.3
левый,117.2
счастливый,117.2
бутылка,117.1
бой,117.0
подходить,116.9
судить,116.8
Ольга,116.7
родиться,116.7
теория,116.5
зона,116.4
отдел,116.2
зуб,116.0
Алексей,115.9
разработка,115.9
отказаться,115.8
святой,115.8
считаться,115.7
точный,115.7
занять,115.6
личность,115.6
гора,115.5
добавить,115.5
товар,115.5
звонить,115.4
медленно,115.4
носить,115.3
метр,115.2
начинаться,115.1
зависеть,115.0
праздник,115.0
влияние,114.9
построить,114.9
читатель,114.7
частый,114.6
удовольствие,114.5
актер,114.4
слеза,114.2
создавать,114.1
значительный,113.9
ответственность,113.8
учитель,113.8
акт,113.6
встретить,113.5
принадлежать,113.5
произнести,113.5
боль,113.3
множество,113.3
связанный,113.2
особенность,113.0
участвовать,113.0
показатель,112.9
занимать,112.7
корабль,112.5
уверенный,112.5
звук,112.4
тонкий,112.4
центральный,112.4
впечатление,112.3
спокойно,112.1
частность,112.0
детство,111.9
вывод,111.8
профессор,111.8
будущий,111.7
Петр,111.5
доля,111.4
норма,111.3
улыбаться,111.3
прошлое,111.2
возле,111.0
командир,110.9
коридор,110.8
поддержка,110.6
рамка,110.6
вскоре,110.5
лучше,110.5
сквозь,110.5
враг,110.3
ладно,110.3
этап,110.3
черт,110.2
дед,110.1
направить,109.9
собрание,109.9
Германия,109.8
прием,109.8
физический,109.8
болезнь,109.6
клетка,109.6
кожа,109.5
заявление,109.3
ради,109.2
попытка,109.1
сравнение,109.1
только,109.0
расчет,108.9
когда-то,108.8
депутат,108.7
то,108.7
частный,108.7
обратиться,108.6
мелкий,108.5
невозможно,108.5
английский,108.4
постоянный,108.4
комитет,108.1
знак,108.0
выбрать,107.9
примерно,107.8
бить,107.5
дядя,107.5
Анна,107.4
учет,107.4
хлеб,107.4
тихий,107.3
хватить,107.3
обещать,107.2
ли,106.9
встречаться,106.8
чай,106.8
режим,106.7
целое,106.6
вирус,106.5
гораздо,106.5
млн,106.5
тридцать,106.5
выражение,106.4
напоминать,106.2
уж,106.2
неожиданно,106.1
здоровье,106.0
зима,106.0
упасть,106.0
перестать,105.8
десяток,105.7
глубина,105.6
сеть,105.5
студент,105.4
обладать,105.2
секунда,105.2
скорость,105.2
поиск,105.0
европейский,104.9
суть,104.9
налог,104.7
ошибка,104.4
ближайший,104.3
отечественный,104.3
теплый,104.0
плакать,103.9
духовный,103.7
доход,103.6
прежний,103.6
режиссер,103.5
поверхность,103.4
ощущение,103.3
состояться,103.1
карта,103.0
клуб,103.0
семь,103.0
станция,103.0
революция,102.9
колено,102.8
министерство,102.8
стекло,102.8
этаж,102.7
остальной,102.2
высота,101.9
наоборот,101.9
бабушка,101.8
двое,101.8
поверить,101.8
трубка,101.7
собрать,101.6
профессиональный,101.5
французский,101.5
женский,101.4
Павел,101.4
крайний,101.3
Христос,101.2
простить,101.1
газ,101.0
естественно,100.8
мастер,100.8
вниз,100.7
главное,100.7
поведение,100.7
рассматривать,100.6
перейти,100.5
мешать,100.4
давай,100.3
столица,100.2
механизм,100.1
передача,100.1
божий,99.9
исчезнуть,99.9
способность,99.9
подход,99.8
разумеется,99.7
столько,99.7
энергия,99.7
дальнейший,99.6
существование,99.6
исполнение,99.5
сорок,99.5
кино,99.4
сожаление,99.4
заместитель,99.3
мол,99.2
объявить,99.0
отличаться,98.9
естественный,98.7
ресурс,98.7
обращаться,98.6
акция,98.5
информационный,98.5
рождение,98.5
снимать,98.5
явно,98.5
администрация,98.3
железный,98.3
пригласить,98.2
соответствовать,98.1
стоимость,98.1
улыбка,98.1
артист,98.0
горячий,98.0
закрыть,97.9
придумать,97.9
пожалуйста,97.8
попробовать,97.8
приводить,97.8
сосед,97.8
фраза,97.8
веселый,97.7
фигура,97.5
достигнуть,97.4
субъект,97.3
утверждать,97.3
реакция,97.2
список,97.2
фотография,97.2
журналист,97.0
май,97.0
означать,97.0
платить,96.9
нарушение,96.8
заседание,96.7
толпа,96.7
больница,96.6
существо,96.6
решать,96.5
интересно,96.4
официальный,96.4
свойство,96.4
долг,96.2
поколение,96.2
серый,96.1
животное,95.9
схема,95.9
усилие,95.9
отличие,95.8
опасный,95.7
определять,95.7
остров,95.7
Путин,95.7
наблюдать,95.5
противник,95.5
волна,95.4
погибнуть,95.4
разговаривать,95.4
прочий,95.2
реализация,95.1
страница,95.1
формирование,95.0
житель,94.9
устроить,94.9
Пушкин,94.8
есть,94.7
красота,94.7
правильно,94.7
благодаря,94.5
птица,94.5
собраться,94.5
достать,94.4
растение,94.4
тень,94.3
явление,94.3
храм,94.2
запах,94.1
слабый,94.1
водка,93.9
наличие,93.9
пожалуй,93.9
яркий,93.9
ужас,93.8
одежда,93.7
ездить,93.6
кресло,93.6
Саша,93.6
больной,93.4
поезд,93.3
университет,93.3
летний,93.2
дополнительный,93.1
понравиться,93.1
традиция,93.1
Юрий,93.0
адрес,92.7
декабрь,92.7
ладонь,92.7
поздно,92.5
сведение,92.5
правильный,92.4
цветок,92.4
выполнять,92.3
лесной,92.2
лидер,92.2
октябрь,92.2
занятие,92.1
заставить,92.1
объяснять,92.1
сентябрь,92.1
помещение,91.9
прочее,91.9
согласно,91.9
январь,91.9
выполнить,91.7
зритель,91.7
постепенно,91.7
резко,91.7
редакция,91.5
указать,91.5
умный,91.5
стиль,91.4
весна,91.3
северный,91.2
фактор,91.2
август,91.0
известие,91.0
зависимость,90.9
охрана,90.9
ясный,90.8
милый,90.7
оборудование,90.5
светлый,90.5
концерт,90.2
отделение,90.2
расход,90.2
редкий,90.2
выставка,89.9
милиция,89.9
верный,89.8
вздохнуть,89.7
юридический,89.6
находить,89.5
Николаевич,89.3
переход,89.3
закончить,89.2
эпоха,89.0
запад,88.9
признать,88.9
произведение,88.9
родина,88.9
собственность,88.9
тайна,88.9
хотя,88.9
четвертый,88.9
административный,88.8
трава,88.7
дойти,88.6
лагерь,88.6
во-первых,88.5
Марина,88.5
имущество,88.4
кивнуть,88.4
кровать,88.4
понятно,88.4
настолько,88.3
обратить,88.3
узкий,88.3
абсолютно,88.2
аппарат,88.2
несколько,88.2
очевидно,88.2
середина,88.2
узнавать,88.2
встретиться,88.1
март,88.1
художественный,88.1
клиент,87.9
лично,87.8
дама,87.7
обратно,87.7
предусмотреть,87.7
фронт,87.7
древний,87.6
отрасль,87.6
стул,87.6
беседа,87.5
массовый,87.5
обеспечивать,87.5
генеральный,87.4
замечательный,87.4
хоть,87.4
двигаться,87.3
законодательство,87.3
продажа,87.3
повышение,87.2
содержать,87.2
страшно,87.2
прежде,87.1
музей,87.0
задний,86.9
региональный,86.9
след,86.9
из-под,86.8
полковник,86.8
приезжать,86.8
сомнение,86.8
понимание,86.7
здоровый,86.6
держаться,86.4
обеспечить,86.4
слегка,86.3
апрель,86.2
князь,86.0
поступить,86.0
рыба,86.0
привыкнуть,85.9
активный,85.7
литературный,85.7
открывать,85.7
собственно,85.7
Таня,85.6
дума,85.5
еще,85.5
неужели,85.5
кодекс,85.4
сутки,85.4
чудо,85.4
вырасти,85.3
шея,85.3
зайти,85.2
судья,85.2
острый,85.1
посвятить,85.1
стремиться,85.1
богатый,85.0
крыша,85.0
настроение,85.0
отсюда,85.0
творческий,85.0
нечто,84.9
поток,84.8
Катя,84.7
мягкий,84.7
ночной,84.7
должность,84.6
преступление,84.6
измениться,84.5
мозг,84.5
налоговый,84.5
толстый,84.4
честь,84.4
пост,84.3
удивиться,84.3
падать,84.2
еврей,84.1
звучать,84.1
Федор,84.1
бедный,84.0
июнь,84.0
много,84.0
сотня,84.0
верхний,83.9
суметь,83.9
вечный,83.8
восемь,83.5
лишний,83.5
морской,83.5
разработать,83.5
нижний,83.4
спокойный,83.4
поговорить,83.3
дождь,83.2
меньше,83.2
лестница,83.1
сухой,83.0
ах,82.9
лететь,82.9
совершить,82.9
дача,82.8
синий,82.8
просто,82.6
установка,82.6
появление,82.5
получение,82.3
сегодняшний,82.3
строить,82.2
образец,82.1
труба,82.1
главное,82.0
кончиться,82.0
медицинский,82.0
привезти,82.0
многие,81.8
осень,81.8
вряд,81.7
сложиться,81.6
оставлять,81.4
полагать,81.4
висеть,81.3
костюм,81.3
свежий,81.3
трудный,81.3
уголовный,81.3
баба,81.2
ценность,81.2
обязанность,81.1
пьеса,81.1
чей,81.1
таблица,81.0
вино,80.9
воспоминание,80.9
лошадь,80.9
повторить,80.9
кто-нибудь,80.8
сыграть,80.8
коллега,80.6
организм,80.6
случайно,80.5
ученик,80.4
учреждение,80.4
высоко,80.3
открытие,80.2
спасти,80.1
том,80.0
черта,80.0
изменить,79.9
повторять,79.9
характеристика,79.9
по-прежнему,79.8
явиться,79.8
Василий,79.6
выполнение,79.6
оборона,79.6
выступление,79.5
Мария,79.5
Миша,79.5
температура,79.5
замечать,79.4
перспектива,79.4
подать,79.4
подруга,79.4
приказ,79.4
вверх,79.3
жертва,79.3
назначить,79.3
протянуть,79.3
ресторан,79.3
Володя,79.2
километр,79.2
сохранить,79.2
спор,79.2
попытаться,79.1
расположить,79.1
использоваться,79.0
вкус,78.9
насколько,78.9
признак,78.9
промышленность,78.9
странно,78.9
американец,78.8
лоб,78.7
заключение,78.6
Нина,78.6
вероятно,78.5
восток,78.5
вроде,78.5
исключение,78.3
отправиться,78.2
желтый,78.1
молча,78.1
ключ,78.0
постановление,78.0
садиться,77.9
Париж,77.8
же,77.7
немедленно,77.6
слой,77.6
бок,77.4
встречать,77.4
говориться,77.3
крикнуть,77.2
спустя,77.2
июль,77.0
мощный,77.0
перевод,77.0
секретарь,77.0
кусок,76.8
готовить,76.7
слух,76.7
учить,76.7
гореть,76.6
испытывать,76.6
польза,76.6
звонок,76.5
выделить,76.4
обстановка,76.2
оттуда,76.2
Дмитрий,76.1
мимо,75.9
поддерживать,75.9
подниматься,75.9
чиновник,75.9
следить,75.8
соглашение,75.8
деталь,75.7
русский,75.7
деревянный,75.6
тишина,75.6
зарплата,75.5
требоваться,75.5
билет,75.4
включать,75.4
подарок,75.4
тюрьма,75.4
ящик,75.4
конкурс,75.3
полезный,75.2
книжка,75.1
собирать,75.1
изучение,75.0
дальний,74.9
менять,74.9
скажем,74.9
Франция,74.9
делаться,74.7
просьба,74.7
царь,74.7
публика,74.6
смех,74.6
покупать,74.5
сообщение,74.5
угроза,74.5
беда,74.4
домашний,74.4
должно,74.1
предполагать,74.1
традиционный,74.1
терять,74.0
Костя,73.9
специально,73.9
блок,73.7
достижение,73.7
назначение,73.7
реклама,73.7
жесткий,73.6
крепкий,73.6
портрет,73.6
послать,73.3
буквально,73.0
виноватый,73.0
допустить,73.0
значительно,73.0
масло,73.0
культурный,72.8
стакан,72.8
вокруг,72.7
Евгений,72.7
приятный,72.7
прочитать,72.7
урок,72.6
присутствовать,72.5
часы,72.5
взглянуть,72.4
крик,72.4
мечтать,72.4
подписать,72.4
во-вторых,72.3
творчество,72.3
телевизор,72.3
осуществлять,72.2
инструмент,72.1
поступать,72.1
Ирина,71.9
концепция,71.9
круглый,71.9
лейтенант,71.9
экран,71.9
Анатолий,71.8
дно,71.8
реальность,71.7
понятный,71.6
голубой,71.5
канал,71.5
удивительный,71.5
мясо,71.4
знакомый,71.3
щека,71.3
мужской,71.2
о,71.2
правовой,71.2
конфликт,71.1
переговоры,71.1
пятьдесят,71.1
больной,71.0
запись,71.0
пора,71.0
вагон,70.9
готовиться,70.9
мертвый,70.8
Наташа,70.8
площадка,70.6
последствие,70.6
пятый,70.6
сотрудничество,70.6
б,70.5
зеркало,70.5
тон,70.5
захотеть,70.4
совместный,70.4
академия,70.3
бороться,70.3
отдавать,70.3
семейный,70.3
тяжело,70.3
остановить,70.2
палата,70.2
потребность,70.2
приобрести,70.2
включить,70.1
ноябрь,70.1
увеличение,70.0
продолжаться,69.9
дурак,69.8
осторожно,69.8
поездка,69.8
обед,69.7
подтвердить,69.7
потеря,69.7
природный,69.7
спешить,69.7
февраль,69.7
добиться,69.5
мероприятие,69.5
